N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"0.8364239705343662,2.0174925989979497",#,#,#,"0.3491978499794215,2.8591372006099096","-2.047414660753855,1.6970309627683529",#,#,#,#,0,0.03653185121815361,999.9999999999998,2.2737367550856206e-13,1.0,1,146.4516324318882,4999,353,0.3,9.105087117141687e-06,311,420
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.740288544725447",#,"-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,#,"-0.6742739527914051,2.2530545868644043",#,1,7.138144702895712e-05,877.821616740932,231.15731473203545,1.5151715115096793e-08,1,167.58330855774616,4645,362,0.6,0.0019304015895325291,136,222
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.740288544725447","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,#,"-0.6742739527914051,2.2530545868644043","-2.3591407007987506,0.7374577307566159",1,0.004071315465033188,865.9335816766986,178.77908650661635,5.475407300221011e-08,2,163.87823660013402,4436,362,0.8,1.9754809639844786e-05,79,132
#,"-0.8309544435461265,0.7389942519738115",#,#,#,"-3.021186398508016,0.6673889940565629",#,#,#,#,0,7.399116660491737e-05,406.2645511709908,416.50102254144946,7.978470436690971e-10,1,125.73765817222514,4976,376,0.2,0.0009136667577376012,814,2037
"-1.0501174214842235,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,8.757711923333502e-05,988.3616640830727,41.21472169885409,8.408879747976876e-05,5,145.61788119034367,4985,376,0.4,0.027381780330235625,1696,2430
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,5.6566268416007475","-3.385416624081514,0.5994328016376627","-2.066026671642698,3.8731192824077887","-2.6571428822818106,0.27111969345375964","0.594681864269732,3.4254490260053396",#,"-2.1407542838823854,3.601269008388594",#,#,0,0.15093900900818014,799.990613707121,160.08979475826226,9.510027237857396e-08,3,117.13770021967704,4773,387,0.7,2.1180661485288085e-05,70,101
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,3.3081509031347935","-3.385416624081514,0.5994328016376627","-2.066026671642698,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,"-2.1407542838823854,3.601269008388594",#,#,0,0.014546778255112067,819.2891768174186,239.27703728663158,1.274955088935013e-08,2,103.18666982168097,4982,387,0.6,1.2438704870071546e-05,216,349
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.22387860687957295",#,"-2.935693770748367,2.166952753154164","-0.327233865249291,2.4336994204442464",#,#,"-3.4081294620473215,1.0481723639327476",#,"-3.70663807051699,2.715936454190438",1,0.002059900393661362,991.2039050851834,31.66596729393145,0.0003140770518213769,1,150.17856462519785,4985,400,0.6,9.179665309111634e-06,851,1185
"-0.9476334263671297,0.6383730175696823",#,#,#,#,"-0.9621745528014604,0.6673889940565629","-3.11976500375879,0.2632549807916251","-1.195960758409416,2.704281477850117","-3.8250924556854105,3.7642778323111323",#,0,0.0002873334284429231,452.09602993090755,387.8027927760834,1.140106281066076e-09,1,139.8821495189431,4982,412,0.5,0.0004002933693208484,439,1240
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,3.3081509031347935","-3.385416624081514,0.5994328016376627","-2.066026671642698,3.8731192824077887","-2.6571428822818106,0.27111969345375964","0.594681864269732,3.4254490260053396",#,"-2.1407542838823854,3.601269008388594",#,"-3.250193412167351,3.6311364357334637",0,0.050626394779639164,799.9882671339013,160.10989687460807,9.504058722488391e-08,1,117.13724341746081,4773,421,0.8,7.060192962334473e-06,68,98
